Kennzeichen;Identnummer;Bankleitzahl;Institutsart;Sektor;Firmenbuchnummer;Bankenname;Stra�e;PLZ;Ort;Postadresse / Stra�e;Postadresse / PLZ;Postadresse / Ort;Postfach;Bundesland;Telefon;Fax;E-Mail;SWIFT-Code;Homepage;Gr�ndungsdatum;LEI
Hauptanstalt;261670;34129;KI;Raiffeisen;94301d;Raiffeisenbank Gunskirchen eGen;Raiffeisenplatz 1;4623;Gunskirchen;;;;;Ober�sterreich;07246/7411;05999/34909/33108;rb-gunskirchen@raiffeisen-ooe.at;RZOOAT2L129;www.raiffeisen-ooe.at/gunskirchen;17.04.1898;529900E0PUOWI7LOPP89
Hauptanstalt;261726;34250;KI;Raiffeisen;93474m;Raiffeisenbank Region Hausruck eGen;Marktplatz 6;4680;Haag am Hausruck;;;;;Ober�sterreich;07732/33110;07732/331136028;rb-hausruck@raiffeisen-ooe.at;RZOOAT2L250;www.raiffeisen-ooe.at/region-hausruck;03.12.1933;5299004J5SVYYCFJ2M33
Hauptanstalt;112097;39000;KI;Raiffeisen;116094b;Raiffeisenlandesbank K�rnten - Rechenzentrum und Revisionsverband, registrierte Genossenschaft mit beschr�nkter Haftung;Raiffeisenplatz 1;9020;Klagenfurt;;;;;K�rnten;0463/99300;;info@rbgk.raiffeisen.at;RZKTAT2KXXX;www.rlb-bank.at;03.12.1900;5299009EHB4RBGMI5828
Hauptanstalt;114820;39100;KI;Raiffeisen;115073a;Posojilnica Bank eGen;Paulitschg. 5-7;9020;Klagenfurt am W�rthersee;;9020;Klagenfurt;465;K�rnten;0463/512365;0463/512365119;info.39100@poso.at;VSGKAT2KXXX;www.poso.at;01.01.1921;529900KD0L0FDTDAPJ25
Hauptanstalt;241407;20205;KI;Sparkassen;110121v;Sparkasse Baden;Hauptplatz 15;2500;Baden bei Wien;;2500;Baden/Wien;109;Nieder�sterreich;050100/72000;050100/972000;info@sparkassebaden.at;SPBDAT21XXX;www.sparkassebaden.at;14.05.1980;549300X1FFW399TI1820
Hauptanstalt;241563;20230;KI;Sparkassen;36180g;Sparkasse Langenlois;Kornplatz 2a;3550;Langenlois;;;;;Nieder�sterreich;050100/79730;050100/979700;info@langenlois.sparkasse.at;SPLSAT21XXX;www.sparkasse.at langenlois;02.04.1981;529900Z4R67VBTGVH491
Hauptanstalt;257699;38206;KI;Raiffeisen;48876b;Raiffeisenbank Leibnitz eGen;Bahnhofstra�e 2;8430;Leibnitz;;8430;Leibnitz;19;Steiermark;03452/82800;03452/82800/55;info@rbleibnitz.at;RZSTAT2G206;www.rbleibnitz.at;05.09.1897;529900JVEDZDVL51Z085
Hauptanstalt;257710;38210;KI;Raiffeisen;52533f;Raiffeisenbank Lieboch-Stainz eGen;Grazer Stra�e 7;8510;Stainz;Grazer Stra�e 7;8510;Stainz;;Steiermark;03463/2326;03463/232625;office@rb38210.at;RZSTAT2G210;http://www.rb38210.at;01.07.1900;529900QLEC5P826ESS32
Hauptanstalt;257753;38215;KI;Raiffeisen;85758s;Raiffeisenbank Liezen-Rottenmann-Trieben eGen;Hauptplatz 11;8940;Liezen;;8940;Liezen;7;Steiermark;03612/22203;03612/2220322;office@raiffeisen-liezen.at;RZSTAT2G215;www.raiffeisen-liezen.at;01.01.1894;529900H59EKJMH0GFO68
Hauptanstalt;258938;33106;KI;Raiffeisen;124436w;Raiffeisenbank Weiden am See eGen;Schulzeile 1;7121;Weiden am See;;;;;Burgenland;02167/7337;02167/733790;info.33106@rb-33106.raiffeisen.at;RLBBAT2E106;https://www.raiffeisen.at/bgld/weiden-see/de/meine-bank/bankstellen/weiden-am-see.html;21.08.1927;5299003F0KXEBAVHJB35
Hauptanstalt;258954;38377;KI;Raiffeisen;67302z;Raiffeisenbank Region Graz Nord eGen;Grazer Stra�e 62;8045;Graz;;8045;Graz-Andritz;3;Steiermark;0316/6993;0316/6993199;info@lebensraumbank.at;RZSTAT2G377;https://www.raiffeisen.at/stmk/region-graz-nord;05.07.1896;529900CUU4JC0MBXOU43
Hauptanstalt;260126;36223;KI;Raiffeisen;40939f;Raiffeisenbank Erl eGen;Dorf 44;6343;Erl;;;;;Tirol;05373/8116;05373/811613;raiba.erl@rbgt.raiffeisen.at;RZTIAT22223;www.raiffeisenbank-erl.at;06.06.1909;529900XW5AQOC6GBAK72
Hauptanstalt;260134;36320;KI;Raiffeisen;41381f;Raiffeisenkasse Schlitters, Bruck und Stra� registrierte Genossenschaft mit beschr�nkter Haftung;Bruggenweg 2;6262;Schlitters;Bruggenweg 2;6262;Schlitters;;Tirol;05288/72424;05288/72300;raika.schlitters@rbgt.raiffeisen.at;RZTIAT22320;www.raiffeisen.at/schlitters;01.01.1908;529900LX5BCXIMF39933
Hauptanstalt;260169;36322;KI;Raiffeisen;38860y;Raiffeisen Regionalbank Schwaz eGen;Innsbrucker Stra�e 11;6130;Schwaz;;6130;Schwaz;106;Tirol;05242/6980;05242/6980/56090;kontakt@rrb-schwaz.at;RZTIAT22322;www.rrb-schwaz.at;01.01.1911;529900PI0PFKC7SJX125
Hauptanstalt;261734;34460;KI;Raiffeisen;78388b;Raiffeisenbank Aist eGen;Innovationsplatz 2;4224;Wartberg ob der Aist;;;;;Ober�sterreich;07236/2317;;office@raiffeisen-aist.at;RZOOAT2L460;www.raiffeisen-aist.at;25.11.1900;529900KUZWNTDRVVC681
Hauptanstalt;261769;34155;KI;Raiffeisen;110723d;Raiffeisenbank Handenberg - St. Georgen a. F. eGen;Baumgartnerstra�e 1;5144;Handenberg;;;;;Ober�sterreich;07748/8087;07748/808720;handenberg-stgeorgen@ooe.raiffeisen.at;RZOOAT2L155;www.raiffeisen-ooe.at/handenberg-stgeorgen;01.09.1907;529900TRSKXWKPSSOP03
Hauptanstalt;121193;74200;KI;Aktienbanken;125818b;SPAR-FINANZ BANK AG;Europastra�e 3;5015;Salzburg;Europastra�e 3;5015;Salzburg;;Salzburg;0662/4470;0662/44708845;office@spar.at;SFIVATW1XXX;keine;24.01.1968;529900AZFXT8865M6B67
Hauptanstalt;122092;35000;KI;Raiffeisen;38219f;Raiffeisenverband Salzburg eGen;Schwarzstr. 13-15;5020;Salzburg;;5021;Salzburg;6;Salzburg;0662/8886;0662/8886/10009;info@rvs.at;RVSAAT2SXXX;www.rvs.at;01.01.1905;529900LU7D396TOO3B50
Hauptanstalt;257788;38227;KI;Raiffeisen;83488b;Raiffeisenbank Liesingtal-St. Stefan eGen;Hauptstra�e 18;8774;Mautern (Stmk.);Hauptstra�e 18;8774;Mautern;;Steiermark;03845/3188;03845/2644;info@38227.at;RZSTAT2G227;http:www.stmk.raiffeisen.at/liesingtal;25.09.1910;529900J5TTRCNNV7T835
Hauptanstalt;258989;38402;KI;Raiffeisen;53595t;Raiffeisenbank Murau eGen;Bundesstra�e 5;8850;Murau;Bundesstra�e 5;8850;Murau;;Steiermark;03532/2315;03532/2315-900;info@rbmurau.at;RZSTAT2G402;www.rbmurau.at;17.04.1898;529900OWAHL9U8K9E874
Hauptanstalt;259004;32073;KI;Raiffeisen;96390a;Raiffeisenbank Bruck-Carnuntum eGen;Raiffeisenplatz 1;2460;Bruck an der Leitha;;;;;Nieder�sterreich;0506699/2000;0506699/2001;info.32073@rbbc.at;RLNWATWWBRL;www.raiffeisen.at/noew/bruck-carnuntum;01.01.1897;529900YCZ4T4BKB8PI34
Hauptanstalt;259012;38403;KI;Raiffeisen;56549k;Raiffeisenbank Region Hartberg eGen;Wiesengasse 2;8230;Hartberg;;;;;Steiermark;03332/20900;03332/20900100;info@raiffeisenhartberg.at;RZSTAT2G403;www.raiffeisenhartberg.at;12.04.1897;529900G0O4D2ZDKYAM83
Hauptanstalt;259020;32092;KI;Raiffeisen;54296y;Raiffeisen-Regionalbank G�nserndorf eGen;Bahnstra�e 8;2230;G�nserndorf;;2230;G�nserndorf;20;Nieder�sterreich;05 02282 5111;;info.32092@rb-32092.raiffeisen.at;RLNWATWWGAE;www.rrb-gaenserndorf.at;31.03.1889;529900DHP7HRRD2NH428
Hauptanstalt;260266;36229;KI;Raiffeisen;39730b;Raiffeisen Regionalbank F�gen-Kaltenbach-Zell eGen;Franziskusweg 10;6263;F�gen;;;;;Tirol;05288/62151;05288/6215153199;info@rrbz.at;RZTIAT22229;www.rrbz.at;07.12.1902;5299005434158TH0MT43
Hauptanstalt;261890;32397;KI;Raiffeisen;35708m;Raiffeisenbank Krems eGen;Dreifaltigkeitsplatz 8;3500;Krems an der Donau;;3500;Krems/Donau;75;Nieder�sterreich;02732/9000;02732/9000/9119;info@raiffeisenbankkrems.at;RLNWATWWKRE;www.raiffeisenbankkrems.at;29.06.1893;529900DXV1NWTZEU7N92
Hauptanstalt;261904;36339;KI;Raiffeisen;39412i;Raiffeisenbank Langkampfen-Thiersee eGen;Vorderthiersee 40;6335;Thiersee;;;;;Tirol;05376/5209;05376/5913;raiba.thiersee@rbgt.raiffeisen.at;RZTIAT22339;www.raiba-thiersee.at;06.12.1912;529900H4WKIZQYKYTF25
Hauptanstalt;261955;32413;KI;Raiffeisen;55870m;Raiffeisenbank Laa/Thaya eGen;Stadtplatz 56;2136;Laa a.d. Thaya;;;;;Nieder�sterreich;0043/2522/23750;0043/2522/23759100;info.32413@rb-laa.at;RLNWATWWLAA;www.rb-laa.at;01.03.1896;5299001U8PWEULH63086
Hauptanstalt;240060;20402;KI;Sparkassen;225403a;Sparkasse Mittersill Bank AG;Stadtplatz 4;5730;Mittersill;;;;;Salzburg;050100/48700;050100/948700;info@mittersill.sparkasse.at;SPMIAT21XXX;www.sparkasse.at/mittersill;10.07.2002;52990073IQ71941QXH68
Hauptanstalt;241954;20331;KI;Sparkassen;237900d;Sparkasse Pregarten - Unterwei�enbach AG;Stadtplatz 19;4230;Pregarten;Stadtplatz 19;4230;Pregarten;;Ober�sterreich;+435010042710;050100/942700;karin.freudenthaler@pregarten.sparkasse.at;SPPRAT21XXX;www.pregarten.sparkasse.at;24.06.2003;529900A3V7234Q3DNK66
Hauptanstalt;257869;38249;KI;Raiffeisen;55977w;Raiffeisenbank Steirisches Salzkammergut-�blarn eGen;Bad Mitterndorf 13;8983;Bad Mitterndorf;;;;;Steiermark;03623/6000;03623/6000-19;info.38249@rb-38249.raiffeisen.at;RZSTAT2G249;www.raiffeisen.at/steirisches-salzkammergut-oeblarn;01.01.1894;529900YKUKGMCT6COC26
Hauptanstalt;257877;38252;KI;Raiffeisen;38241m;Raiffeisenbank Nestelbach-Eggersdorf eGen;Schemerlh�he 71;8302;Nestelbach bei Graz;;;;;Steiermark;03133/2202;;info@wearebanking.at;RZSTAT2G252;www.raiffeisen.at/nestelbach-eggersdorf;17.03.1895;529900EDACO4YT5O9K42
Hauptanstalt;259063;32099;KI;Raiffeisen;49453a;Raiffeisenkasse Dobersberg-Waldkirchen eGen;Hauptplatz 20;3843;Dobersberg;;;;;Nieder�sterreich;02843/2214;02843/221421;info.32099@rb-32099.raiffeisen.at;RLNWATW1099;www.raiffeisen.at/noew/dobersberg-waldkirchen;02.10.1960;529900JNB0LJUQY0UH90
Hauptanstalt;259098;38420;KI;Raiffeisen;66776a;Raiffeisenbank Stra�-Spielfeld eGen;Hauptstra�e 59;8472;Stra�;Hauptstra�e 59;8472;Stra�;;Steiermark;03453/2339;03453/233939;info@rbstrass.at;RZSTAT2G420;www.rbstrass.at;01.01.1897;5299000ZVON1HSFMRU07
Hauptanstalt;262021;36386;KI;Raiffeisen;41041f;Raiffeisenkasse Villgratental eGen;Nr. 79;9932;Innervillgraten;Gasse 79;9932;Innervillgraten;;Tirol;04843/5304;04843/530416;raika.villgratental@rbgt.raiffeisen.at;RZTIAT22386;www.raika-villgratental.at;01.01.1891;529900ZLBMGIJKNXSD23
Hauptanstalt;262030;36347;KI;Raiffeisen;39407b;Raiffeisenkasse Volders und Umgebung registrierte Genossenschaft mit beschr�nkter Haftung;Bundesstra�e 24c;6111;Volders;;;;;Tirol;05224/52277;05224/52277-76290;info.volders@rbgt.raiffeisen.at;RZTIAT22347;www.raika-volders.at;18.12.1904;5299003CDGYZR4COMQ76
Hauptanstalt;122181;37000;KI;Raiffeisen;63128k;Raiffeisen Landesbank Vorarlberg mit Revisionsverband eGen;Rheinstra�e 11;6900;Bregenz;;6901;Bregenz;120;Vorarlberg;05574/405;05574/405331;info@raiba.at;RVVGAT2BXXX;www.raiba.at;01.01.1895;529900FEID5L4H2T2L70
Hauptanstalt;126802;34680;KI;Raiffeisen;94566v;Raiffeisenbank Wels eGen;Kaiser-Josef-Pl. 58;4601;Wels;;4601;Wels;10;Ober�sterreich;07242/754;07242/75431288;rb-wels@raiffeisen-ooe.at;RZOOAT2L680;www.raiffeisenbank-wels.at;24.08.1882;529900X0E841KVE4VX13
Hauptanstalt;240125;20507;KI;Sparkassen;238050z;Lienzer Sparkasse AG;Johannesplatz 6;9900;Lienz;;;;;Tirol;050100/33500;050100/933500;info@lienzer.sparkasse.at;LISPAT21XXX;www.sparkasse.at\lienz;23.07.2003;529900L8FZJJC3JGYK56
Hauptanstalt;243078;33065;KI;Raiffeisen;124617k;Raiffeisenbank Burgenland Mitte eGen;Hauptstra�e 34;7350;Oberpullendorf;;;;;Burgenland;05 0753;050753 8101;info.33065@rbbm.at;RLBBAT2E065;www.raiffeisen.at/burgenland-mitte;14.08.1928;529900ZLDHV67QISV317
Hauptanstalt;257958;38282;KI;Raiffeisen;69221x;Raiffeisenbank Passail eGen;Markt 15;8162;Passail;;;;;Steiermark;03179/23214;03179/2321424;info.38282@rbpassail.at;RZSTAT2G282;www.rbpassail.at;03.12.1911;529900QRFKD32R2U5K09
Hauptanstalt;259110;36207;KI;Raiffeisen;40575w;Raiffeisenbank Arzl im Pitztal und Imsterberg registrierte Genossenschaft mit beschr�nkter Haftung;Dorfstra�e 38;6471;Arzl im Pitztal;;;;;Tirol;05412/63121;05999/36888/68690;raika.arzlimsterberg@rbgt.raiffeisen.at;RZTIAT22207;www.raiffeisen.at/tirol/arzl-im-pitztal-und-imsterberg;20.09.1891;529900TOA505PY9Z4044
Hauptanstalt;259128;33116;KI;Raiffeisen;126036y;Raiffeisenbank Frauenkirchen-M�nchhof-Podersdorf am See eGen;Amtshausgasse 2;7132;Frauenkirchen;;7132;Frauenkirchen;16;Burgenland;02172/2278;02172/2278900;info@rb33116.at;RLBBAT2E116;https://www.raiffeisen.at/bgld/frauenkirchen-moenchhof-podersdorf;10.04.1956;52990025MUV1CHF0Y448
Hauptanstalt;259136;38433;KI;Raiffeisen;67603t;Raiffeisenbank Stallhofen eGen;Raiffeisenplatz 1;8152;Stallhofen;;;;;Steiermark;03142/22163;;info.38433@rb-38433.raiffeisen.at;RZSTAT2G433;www.raiffeisen.at/stallhofen;28.06.1899;529900X110E4BDKR0G09
Hauptanstalt;259144;38436;KI;Raiffeisen;56655t;Raiffeisenbank Straden eGen;Raiffeisengasse 75;8345;Straden;;;;;Steiermark;03473/8262;03473/826239;info.38436@rb-38436.raiffeisen.at;RZSTAT2G436;www.raiffeisen.at/straden;01.01.1908;529900SI7X599BRSYD96
Hauptanstalt;260479;34410;KI;Raiffeisen;77818p;Raiffeisenbank Region Rohrbach eGen;Stadtplatz 30;4150;Rohrbach-Berg(O�);;;;;Ober�sterreich;07289/6881;05999/34909/39500;rb-rohrbach@rbro.at;RZOOAT2L410;www.rbro.at;16.07.1905;5299004J3SBQE609PM70
Hauptanstalt;262080;36349;KI;Raiffeisen;39911v;RaiffeisenBank St. Ulrich - Waidring eGen;Dorfstra�e 5 a;6384;Waidring;;;;;Tirol;05353/5229;05353/522929;office@rbsw.at;RZTIAT22349;www.rbsw.at;12.03.1893;529900B11OPJRIMVPA37
Hauptanstalt;262102;36351;KI;Raiffeisen;39215w;Raiffeisenbank Wattens und Umgebung, registrierte Genossenschaft mit beschr�nkter Haftung;Fr. Stricknerstra�e 2;6112;Wattens;;;;;Tirol;05224/5833;05999/3688855090;info@rbwattens.at;RZTIAT22351;www.rbwattens.at;05.03.1893;52990033V131EX0K3G14
Hauptanstalt;30937;34000;KI;Raiffeisen;247579m;Raiffeisenlandesbank Ober�sterreich Aktiengesellschaft;Europaplatz 1a;4020;Linz;;;;;Ober�sterreich;0732/6596;0732/659622739;internet@rlbooe.at;RZOOAT2LXXX;www.rlbooe.at;31.03.2004;I6SS27Q1Q3385V753S50
Hauptanstalt;53759;19970;KI;Aktienbanken;100508g;Banco do Brasil Aktiengesellschaft;Galaxy Tower, Praterstra�e 31/4. OG;1020;Wien;;1013;Wien;135;Wien;01/5126663;01/5121042;bbaustria@bb.com.br;BRASATWWXXX;www.bancodobrasil.at;01.04.1980;529900WSSQ6JIRC66D02
Hauptanstalt;127647;18600;KI;Aktienbanken;76096g;Volkskreditbank AG;Rudigierstr. 5-7;4020;Linz;;4010;Linz/Donau;116;Ober�sterreich;0732/7637;0732/76371290;service@vkb-bank.at;VKBLAT2LXXX;www.vkb-bank.at;21.10.1872;529900990PPI3K3RDT23
Hauptanstalt;134279;20267;KI;Sparkassen;110105w;Wiener Neust�dter Sparkasse;Neunkirchnerstra�e 4;2700;Wiener Neustadt;;2700;Wiener Neustadt;56;Nieder�sterreich;050100/20267;;info@wrneustadt.sparkasse.at;WINSATWNXXX;www.sparkasse.at/wrneustadt;01.01.1860;529900TZVDFQV1D69R57
Hauptanstalt;240141;20603;KI;Sparkassen;64289v;Sparkasse der Gemeinde Egg;Nr. 873;6863;Egg (Vbg.);;;;;Vorarlberg;050100/75500;050100/975500;info@egg.sparkasse.at;SPEGAT21XXX;www.egg.sparkasse.at;14.12.1980;5299007CQAM6HN45CF82
Hauptanstalt;240150;20607;KI;Sparkassen;248951f;Sparkasse Bludenz Bank AG;Sparkassenplatz 1;6700;Bludenz;;;;;Vorarlberg;050100/77800;050100/977800;info@bludenz.sparkasse.at;SSBLAT21XXX;www.sparkasse.at/bludenz;11.05.2004;5299006FZT79EKTMK255
Hauptanstalt;243108;36342;KI;Raiffeisen;39646d;Raiffeisenbank Tux eGen;Lanersbach 464;6293;Tux;Lanersbach 401;6293;Tux;;Tirol;05287/85330;05287/853375490;raiba.tux@rbgt.raiffeisen.at;RZTIAT22342;www.raibatux.at;28.03.1897;52990001LP4SHV9LRI48
Hauptanstalt;243159;36378;KI;Raiffeisen;41564z;Raiffeisen Regionalbank Matrei i.O. eGen;Rauterplatz 4;9971;Matrei in Osttirol;;;;;Tirol;04875/6801;04875/680148190;raiba.matrei-osttirol@bankmatrei.at;RZTIAT22378;www.bankmatrei.at;01.09.1894;529900GM7ROAY9MPT913
;263966;34126;;Raiffeisen;121230f;Raiffeisenbank Ennstal eGen;Kirchenplatz 11;4452;Ternberg;;;;;Ober�sterreich;07256/8842;07256/884288;office@rb-ennstal.at;RZOOAT2L080;www.rb-ennstal.at;28.07.1920;529900VD28IW1IHAKM38
;5171741;46660;;Volksbanken;211524s;VOLKSBANK WIEN AG;Dietrichgasse 25;1030;Wien;;;;;Wien;01/40137;01/401377600;mail@volksbankwien.at;VBOEATWWXXX;www.volksbankwien.at;19.06.2001;529900D4CD6DIB3CI904
;5171741;49460;;Volksbanken;211524s;VOLKSBANK WIEN AG;Dietrichgasse 25;1030;Wien;;;;;Wien;01/40137;01/401377600;mail@volksbankwien.at;VBOEATWWXXX;www.volksbankwien.at;19.06.2001;529900D4CD6DIB3CI904
;92061;44220;;Volksbanken;129209p;�sterreichische �rzte- und Apothekerbank AG;Spitalgasse 31;1090;Wien;;1016;Wien;31;Wien;+43 (0)504243;+43 (0)504243 -190;info@apobank.at;BWFBATW1XXX;www.apobank.at;28.10.1914;529900X1F1MUXHHDIV43
;257621;38335;;Raiffeisen;69259b;Raiffeisenbank Heiligenkreuz-Kirchbach -St. Georgen eGen;Kirchbach 12;8082;Kirchbach-Zerlach;;;;;Steiermark;03116/2255;03116/225555;info.38170@rb-38170.raiffeisen.at;RZSTAT2G170;https://www.raiffeisen.at/stmk/kirchbach;17.03.1896;529900SATWR4ODD5IU36
;54801;15006;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15005;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15008;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15009;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15010;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15011;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;54801;15021;;Aktienbanken;79063w;Oberbank AG;Untere Donaul�nde 28;4020;Linz;;4010;Linz/Donau;60;Ober�sterreich;0732/7802;0732/ 7802 - 32140;office@oberbank.at;OBKLAT2LXXX;www.oberbank.at;01.07.1869;RRUN0TCQ1K2JDV7MXO75
;1646419;43920;;Volksbanken;39939i;Volksbank Nieder�sterreich AG;Bahnhofplatz 10;3100;St. P�lten;;3100;St. P�lten;90;Nieder�sterreich;02742/391;02742/3918001;mail@vbnoe.at;VBOEATWWNOM;www.vbnoe.at;18.09.1991;529900TJVZO6PPBYKU80
Hauptanstalt;265047;32447;KI;Raiffeisen;75316i;Raiffeisenbank Traisen-G�lsental eGen;Babenbergerstra�e 5;3180;Lilienfeld;;3180;Lilienfeld;12;Nieder�sterreich;02762/52390;02762/5239022;info.32447@rbtg.at;RLNWATWWLFD;www.rbtg.at;11.12.1888;529900QBRRD2OSTO1J36
;1646419;40630;;Volksbanken;39939i;Volksbank Nieder�sterreich AG;Bahnhofplatz 10;3100;St. P�lten;;3100;St. P�lten;90;Nieder�sterreich;02742/391;02742/3918001;mail@vbnoe.at;VBOEATWWNOM;www.vbnoe.at;18.09.1991;529900TJVZO6PPBYKU80
;1646419;41050;;Volksbanken;39939i;Volksbank Nieder�sterreich AG;Bahnhofplatz 10;3100;St. P�lten;;3100;St. P�lten;90;Nieder�sterreich;02742/391;02742/3918001;mail@vbnoe.at;VBOEATWWNOM;www.vbnoe.at;18.09.1991;529900TJVZO6PPBYKU80
;5171741;43610;;Volksbanken;211524s;VOLKSBANK WIEN AG;Dietrichgasse 25;1030;Wien;;;;;Wien;01/40137;01/401377600;mail@volksbankwien.at;VBOEATWWXXX;www.volksbankwien.at;19.06.2001;529900D4CD6DIB3CI904
;5171741;44570;;Volksbanken;211524s;VOLKSBANK WIEN AG;Dietrichgasse 25;1030;Wien;;;;;Wien;01/40137;01/401377600;mail@volksbankwien.at;VBOEATWWXXX;www.volksbankwien.at;19.06.2001;529900D4CD6DIB3CI904
;269379;39483;;Raiffeisen;119565g;Raiffeisen Bank Villach registrierte Genossenschaft mit beschr�nkter Haftung;Nikolaig. 4;9500;Villach;Nikolaigasse 4;9500;Villach;;K�rnten;+43 4242 24943;+43 4242 24943 949699;rb.villach@rbgk.raiffeisen.at;RZKTAT2K496;www.rbvillach.at;27.01.1893;529900UVX2XR8Y4ZUQ97
Filiale;18994016;19540;ZW;� 9 Institute;442863w;Bank of China (Central and Eastern Europe) Limited Vienna Branch;Schottenring 18;1010;Wien;Schottenring 18;1010;Wien;;Wien;01/53666;01/53666/888;;BKCHATWWXXX;;;
Hauptanstalt;264423;32127;KI;Raiffeisen;45244k;Raiffeisenbank Thayatal-Mitte eGen;Hauptplatz 11;3820;Raabs an der Thaya;;;;;Nieder�sterreich;02846/332;02846/33225;info.32127@rb-32127.raiffeisen.at;RLNWATW1127;www.raiffeisen.at/noew/thayatal-mitte;14.06.1894;529900SWYG9ZEXHD3E80
Hauptanstalt;264440;32715;KI;Raiffeisen;55954k;Raiffeisenkasse Retz-Pulkautal eGen;Hauptplatz 33;2070;Retz;;;;;Nieder�sterreich;02942/2992;02942/299260;info.32715@rb-32715.raiffeisen.at;RLNWATW1715;www.raiffeisen.at/retz;28.07.1896;5299003KMEKIYNEIJN24
Hauptanstalt;267260;37401;KI;Raiffeisen;63097s;Raiffeisenbank Alberschwende eGen;Hof 18;6861;Alberschwende;;;;;Vorarlberg;05579/4204;05579/4204190;alberschwende@raiba.at;RVVGAT2B401;www.raiba-alberschwende.at;01.01.1894;529900B8ZPQXSPCLTD68
Hauptanstalt;267295;37406;KI;Raiffeisen;59081i;Raiffeisenbank Bezau-Mellau-Bizau eGen;Nr. 398;6870;Bezau;;;;;Vorarlberg;05514/2345;05514/2345385;bmb@raiba.at;RVVGAT2B406;raiba-bmb.at;01.01.1893;529900OCERC8S9IGQJ90
Hauptanstalt;267392;37420;KI;Raiffeisen;63205z;Raiffeisenbank Im Rheintal eGen;Rathausplatz 8;6850;Dornbirn;;6850;Dornbirn;152;Vorarlberg;05572/3818;05572/3818222;rheintal@raiba.at;RVVGAT2B420;www.raibaimrheintal.at;19.06.1898;529900EWR06UH8ANH691
Hauptanstalt;267422;37422;KI;Raiffeisen;59672d;Raiffeisenbank Montfort eGen;Bahnhofstra�e 2;6830;Rankweil;;;;;Vorarlberg;05522/42301;05522/42301120;montfort@raiba.at;RVVGAT2B422;www.raibamontfort.at;17.11.1899;529900QPSJDW4Z12VO64
Hauptanstalt;267457;37423;KI;Raiffeisen;63339x;Raiffeisenbank Mittel- und Hinterbregenzerwald eGen;Loco 12;6863;Egg (Vbg.);Loco 12;6863;Egg/Vbg.;;Vorarlberg;05512/2131;05512/2131590;mhb@raiba.at;RVVGAT2B423;raiba-mhb.at;01.01.1894;529900L1D5CYVFE95A28
Hauptanstalt;1228862;19810;KI;Aktienbanken;62610z;Santander Consumer Bank GmbH;Wagramer Stra�e 19;1220;Wien;Wagramer Stra�e 19;1220;Wien;;Wien;+43502039413;050203/9325;patricia.schmegkal@santanderconsumer.at;SANTATWWXXX;www.santanderconsumer.at;01.01.1929;5299000I7Y60A8273788
Hauptanstalt;1325620;34608;KI;Raiffeisen;94993x;Raiffeisenbank Attersee-Nord eGen;Raiffeisenplatz 1;4863;Seewalchen am Attersee;;;;;Ober�sterreich;07662/42110;0043/7662/421144099;rb-attersee-nord@raiffeisen-ooe.at;RZOOAT2L608;www.raiffeisen-ooe.at/attersee-nord;02.11.1989;5299001QR2L8V0XJTV10
Hauptanstalt;1325760;34545;KI;Raiffeisen;94984h;Raiffeisenbank Inneres Salzkammergut eGen;Kreuzplatz 20;4820;Bad Ischl;;;;;Ober�sterreich;06132/26181;05999/34909/45400;rb-inneres-salzkammergut@raiffeisen-ooe.at;RZOOAT2L545;www.raiffeisen-ooe.at/inneres-salzkammergut;02.11.1989;529900ZF1HXFXZ5JBG77
